code,name,country,state,slug
houst,Houston,United States,Texas,/houston
sanfm,Sanford  ME,United States,Maine,/sanford-me
ancho,Anchorage,,Alaska,/anchorage
bari,Bari,Italy,,/bari
augme,Augusta  ME,United States,Maine,/augusta-me
stut,Stuttgart,Germany,Baden-Württemberg,/stuttgart
melb,Melbourne,Australia,,/melbourne
bcn,Barcelona,Spain,Cataluña,/barcelona
indin,Indianapolis,United States,Indiana,/indianapolis
suva,Suva,Fiji,,/suva
chasc,Charleston,United States,South Carolina,/charleston
cluj,Cluj-Napoca,Romania,,/cluj-napoca
orlan,Orlando,United States,Florida,/orlando
tulsa,Tulsa,United States,Oklahoma,/tulsa
sanjo,San Jose,United States,California,/san-jose
denv,Denver,United States,Colorado,/denver
hhsc,Hilton Head Island,United States,South Carolina,/hilton-head-island
birm,Birmingham,United Kingdom,England,/birmingham
arltx,Arlington,United States,Texas,/arlington
linco,Lincoln,United States,Nebraska,/lincoln
mun,Munich,Germany,Bavaria,/munchen
milwa,Milwaukee,United States,Wisconsin,/milwaukee
istan,Istanbul,Türkiye,,/istanbul
colum,Columbus,United States,Ohio,/columbus
port,Portland,United States,Maine,/portland
nure,Nuremberg,Germany,Bavaria,/nuremberg
ber,Berlin,Germany,,/berlin
was,Washington DC,United States,,/washington-dc
live,Liverpool,United Kingdom,England,/liverpool
hano,Hanover,Germany,Niedersachsen,/hanover
biggm,Biddeford  ME,United States,Maine,/biddeford-me
brisb,Brisbane,Australia,,/brisbane
jacks,Jacksonville,United States,Florida,/jacksonville
leic,Leicester,United Kingdom,England,/leicester
aubur,Auburn  ME,United States,Maine,/auburn-me
lbca,Long Beach,United States,California,/long-beach
genov,Genova,Italy,,/genova
oklc,Oklahoma City,United States,Oklahoma,/oklahoma-city
cleve,Cleveland,United States,Ohio,/cleveland
dalla,Dallas,United States,Texas,/dallas
louky,Louisville,United States,Kentucky,/louisville
sev,Sevilla,Spain,Andalucía,/sevilla
vancb,Vancouver,Canada,British Columbia,/vancouver
wichi,Wichita,United States,Kansas,/wichita
paler,Palermo,Italy,,/palermo
bango,Bangor  ME,United States,Maine,/bangor-me
wien,Vienna,Austria,,/wien
lodz,Łódź,Poland,,/lodz
hogwa,Hogwarts,,,/hogwarts
mex,Mexico City,Mexico,,/mexico-city
wyomi,Wyoming,United States,,/wyoming
tor,Toronto,Canada,Ontario,/toronto
bucha,Bucharest,Romania,,/bucharest
fresn,Fresno,United States,California,/fresno
erfu,Erfurt,Germany,Thüringen,/erfurt
memph,Memphis,United States,Tennessee,/memphis
flore,Firenze,Italy,,/firenze
anahe,Anaheim,United States,California,/anaheim
cork,Cork,Ireland,,/cork
lyon,Lyon,France,,/lyon
kanci,Kansas City,United States,Missouri,/kansas-city
portl,Portland,United States,Oregon,/portland-oregon
murc,Murcia,Spain,,/murcia
colsp,Colorado Springs,United States,Colorado,/colorado-springs
wei,Weimar,Germany,Thüringen,/weimar
hamb,Hamburg,Germany,,/hamburg
fra,Frankfurt,Germany,,/frankfurt
nashu,Nashua  NH,United States,New Hampshire,/nashua-nh
edin,Edinburgh,United Kingdom,Scotland,/edinburgh
bolog,Bologna,Italy,,/bologna
mannh,Manchester  NH,United States,New Hampshire,/manchester-nh
nyc,New York,United States,New York State,/new-york
detro,Detroit,United States,Michigan,/detroit
milan,Milano,Italy,,/milano
